"grid"	"year"	"month"	"day"	"L"	"L2"	"L3"	"nuSpecies"	"visit"	"y"	"siteIndex"	"yearIndex"	"bio1"	"bio5"	"bio6"	"Forest"	"Open"	"Bottom"	"Top"	"PrefOpen"	"PrefClosed"	"Agriculture"	"Habitat"	"ID_0"	"ISO"	"NAME_0"	"ID_1"	"NAME_1"	"ID_2"	"NAME_2"	"TYPE_2"	"ENGTYPE_2"	"NL_NAME_2"	"VARNAME_2"	"adm"	"adm2"	"tree_line_position"	"alpine_habitat1"	"alpine_habitat2"	"alpine_habitat3"	"alpine_habitat4"	"High"	"admN"	"admN2"	"site"	"siteyearIndex"	"samplingDays"	"Effort"	"species"	"nuVisits"	"nuObs"	"x"
6116	2007	NA	NA	NA	NA	NA	NA	NA	7973021.13526258	27	1	0.9375	181.323369565217	-159.578804347826	15	232	2	94	70	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-50.65232249012	0.24	0.76	0	0	0	5	186	"5-186-6116"	27	0	0	0	14	0	1162014.40275069
6117	2007	NA	NA	NA	NA	NA	NA	NA	7973021.13526258	28	1	-5.7825	179.1225	-168.1575	1	236	0	28	21	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-119.751192570496	0.08	0.92	0	0	0	5	186	"5-186-6117"	28	0	0	0	3	0	1167014.40275069
6118	2007	NA	NA	NA	NA	NA	NA	NA	7973021.13526258	29	1	-12.09	181.225	-178.8425	0	269	0	0	0	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-142.509550089645	0	1	0	0	0	5	103	"5-103-6118"	29	0	0	0	9	0	1172014.40275069
6119	2007	6	15	7	7	1	32	"2007-6-15-6119"	7973021.13526258	30	1	-14.8075	186.4475	-185.9525	0	248	0	0	0	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-112.01534470253	0	1	0	0	0	5	103	"5-103-6119"	30	1	0.21875	0	24	0	1177014.40275069
6130	2007	6	9	5	5	1	31	"2007-6-9-6130"	7973021.13526258	37	1	-4.51988636363636	170.528409090909	-169.727272727273	1	246	0	19	14	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-29.197252560043	0.08	0.92	0	0	0	5	46	"5-46-6130"	37	1	0.161290322580645	0	26	0	1232014.40275069
6340	2007	NA	NA	NA	NA	NA	NA	NA	7968021.13526258	39	1	3.735	172.5125	-161.1275	0	238	0	130	50	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"93"	"Nordkapp"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Nordkapp"	-67.739558089323	0	1	0	0	0	5	247	"5-247-6340"	39	0	0	1	3	1	1097014.40275069
6355	2007	NA	NA	NA	NA	NA	NA	NA	7968021.13526258	42	1	-10.6225	180.3425	-176.8125	0	260	0	9	3	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-107.511222541046	0	1	0	0	0	5	186	"5-186-6355"	42	0	0	0	1	0	1172014.40275069
6356	2007	NA	NA	NA	NA	NA	NA	NA	7968021.13526258	43	1	-14.7175	182.7025	-185.1525	0	236	0	3	1	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-106.59466241188	0	1	0	0	0	5	103	"5-103-6356"	43	0	0	1	27	1	1177014.40275069
6358	2007	NA	NA	NA	NA	NA	NA	NA	7968021.13526258	45	1	-13.1358695652174	162.880434782609	-175.573369565217	3	252	0	38	19	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-173.650072507477	0.04	0.8	0.16	0	0	5	103	"5-103-6358"	45	0	0	0	2	0	1187014.40275069
6363	2007	NA	NA	NA	NA	NA	NA	NA	7968021.13526258	47	1	-7.74184782608696	151.133152173913	-168.41847826087	1	200	0	39	27	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-130.14566874218	0.0416666666666667	0.958333333333333	0	0	0	5	46	"5-46-6363"	47	0	0	0	6	0	1212014.40275069
6368	2007	6	9	7	7	1	42	"2007-6-9-6368"	7968021.13526258	52	1	-1.315	167.59	-167.0125	2	137	0	46	25	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	61.3483809314641	0.347826086956522	0.652173913043478	0	0	0	5	46	"5-46-6368"	52	1	0.166666666666667	0	22	0	1237014.40275069
6371	2007	6	2	2	2	1	84	"2007-6-2-6371"	7968021.13526258	55	1	-12.3275	159.9	-179.7275	0	248	12	44	7	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-180.503735010147	0	0.72	0.28	0	0	5	37	"5-37-6371"	55	1	0.0238095238095238	0	71	0	1252014.40275069
6577	2007	NA	NA	NA	NA	NA	NA	NA	7963021.13526258	59	1	0.585	178.7025	-163.1725	0	266	0	157	26	0	0	"Top"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"93"	"Nordkapp"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Nordkapp"	-149.817135066986	0	1	0	0	0	5	247	"5-247-6577"	59	0	0	0	6	0	1097014.40275069
6593	2007	NA	NA	NA	NA	NA	NA	NA	7963021.13526258	61	1	-9.6825	178.1775	-174.0625	1	232	0	36	14	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-88.32168503685	0.08	0.92	0	0	0	5	186	"5-186-6593"	61	0	0	1	23	1	1177014.40275069
6594	2007	NA	NA	NA	NA	NA	NA	NA	7963021.13526258	62	1	-6.565	167.915	-168.055	2	161	0	104	47	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-13.1993257703095	0.227272727272727	0.772727272727273	0	0	0	5	103	"5-103-6594"	62	0	0	0	2	0	1182014.40275069
6605	2007	6	9	3	3	1	13	"2007-6-9-6605"	7963021.13526258	68	1	-8.48697916666667	176.856770833333	-180.4765625	7	203	0	45	39	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	26.0390395216649	0.48	0.52	0	0	0	5	46	"5-46-6605"	68	1	0.230769230769231	0	6	0	1237014.40275069
6606	2007	NA	NA	NA	NA	NA	NA	NA	7963021.13526258	69	1	-19.15625	170.706730769231	-194.139423076923	0	248	0	3	0	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-236.318135003662	0	0.56	0.44	0	0	5	46	"5-46-6606"	69	0	0	1	3	1	1242014.40275069
6608	2007	6	8	4	5	1.25	44	"2007-6-8-6608"	7963021.13526258	71	1	-11.6225	174.39	-184.19	9	250	0	114	55	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-56.80236755867	0	0.92	0.08	0	0	5	37	"5-37-6608"	71	1	0.113636363636364	0	25	0	1252014.40275069
6609	2007	NA	NA	NA	NA	NA	NA	NA	7963021.13526258	72	1	-15.2445652173913	171.040760869565	-189.883152173913	0	244	0	139	85	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-127.063380024338	0	0.92	0.08	0	0	5	37	"5-37-6609"	72	0	0	0	1	0	1257014.40275069
6611	2007	6	9	18	20	1	25	"2007-6-9-6611"	7963021.13526258	74	1	-12.785	174.165	-182.15	0	259	0	86	48	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-213.932542487717	0	0.68	0.32	0	0	5	37	"5-37-6611"	74	1	0.8	1	1	1	1267014.40275069
6830	2007	NA	NA	NA	NA	NA	NA	NA	7958021.13526258	76	1	-14.5375	174.2525	-178.5275	0	257	0	1	0	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-150.16861490097	0	1	0	0	0	5	186	"5-186-6830"	76	0	0	0	1	0	1177014.40275069
6839	2007	NA	NA	NA	NA	NA	NA	NA	7958021.13526258	79	1	-20.2375	169.2375	-193.16	6	262	0	20	4	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-137.621775073242	0	1	0	0	0	5	46	"5-46-6839"	79	0	0	0	3	0	1222014.40275069
6841	2007	NA	NA	NA	NA	NA	NA	NA	7958021.13526258	81	1	-15.15	176.445	-190.45	2	263	0	44	30	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-71.556287588119	0	1	0	0	0	5	46	"5-46-6841"	81	0	0	0	20	0	1232014.40275069
6845	2007	6	10	10	10	1	32	"2007-6-10-6845"	7958021.13526258	85	1	-16.9254807692308	178.403846153846	-192.5	0	277	0	122	48	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-136.12564500351	0	0.96	0.04	0	0	5	37	"5-37-6845"	85	1	0.3125	1	8	1	1252014.40275069
6846	2007	6	6	3	3	1	16	"2007-6-6-6846"	7958021.13526258	86	1	-17.6153846153846	177.572115384615	-194.576923076923	0	266	0	129	52	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-169.678937605286	0	0.84	0.16	0	0	5	37	"5-37-6846"	86	2	0.1875	1	9	2	1257014.40275069
6848	2007	6	8	4	4	1	21	"2007-6-8-6848"	7958021.13526258	88	1	-10.5841346153846	181.745192307692	-183.786057692308	43	221	0	88	56	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-54.477177502728	0.16	0.84	0	0	0	5	37	"5-37-6848"	88	1	0.19047619047619	0	8	0	1267014.40275069
7066	2007	NA	NA	NA	NA	NA	NA	NA	7953021.13526258	94	1	-16.5135869565217	175.288043478261	-186.377717391304	0	259	0	1	0	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-145.115664916229	0	1	0	0	0	5	186	"5-186-7066"	94	0	0	1	5	1	1172014.40275069
7078	2007	6	9	8	8	1	26	"2007-6-9-7078"	7953021.13526258	102	1	-19.355	172.3825	-197.4075	0	236	0	60	34	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-57.832292541122	0	1	0	0	0	5	46	"5-46-7078"	102	1	0.307692307692308	1	10	2	1232014.40275069
7079	2007	NA	NA	NA	NA	NA	NA	NA	7953021.13526258	103	1	-20.9075	177.16	-198.8625	0	253	0	48	31	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-135.886734988403	0	0.84	0.16	0	0	5	46	"5-46-7079"	103	0	0	0	1	0	1237014.40275069
7080	2007	NA	NA	NA	NA	NA	NA	NA	7953021.13526258	104	1	-27.2907608695652	174.763586956522	-206.054347826087	0	258	0	12	3	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-330.421639956665	0	0.24	0.76	0	0	5	46	"5-46-7080"	104	0	0	1	13	1	1242014.40275069
7081	2007	6	12	1	1	1	37	"2007-6-12-7081"	7953021.13526258	105	1	-23.1225	178.2575	-202.485	0	262	0	13	5	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-227.886822529602	0	0.72	0.28	0	0	5	37	"5-37-7081"	105	2	0.027027027027027	1	32	4	1247014.40275069
7082	2007	NA	NA	NA	NA	NA	NA	NA	7953021.13526258	106	1	-19.765	180.545	-198.2575	4	251	0	47	6	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-168.549579992676	0	1	0	0	0	5	37	"5-37-7082"	106	0	0	0	1	0	1252014.40275069
7083	2007	6	6	1	1	1	14	"2007-6-6-7083"	7953021.13526258	107	1	-17.66	182.4275	-196.2775	12	221	0	77	19	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-112.659360119057	0	0.96	0.04	0	0	5	37	"5-37-7083"	107	1	0.0714285714285714	0	5	0	1257014.40275069
7084	2007	NA	NA	NA	NA	NA	NA	NA	7953021.13526258	108	1	-14.7934782608696	185.627717391304	-192.614130434783	18	230	0	125	72	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"81"	"Båtsfjord"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Båtsfjord"	-113.944690001392	0.08	0.92	0	0	0	5	37	"5-37-7084"	108	0	0	0	6	0	1262014.40275069
7091	2007	NA	NA	NA	NA	NA	NA	NA	7953021.13526258	115	1	-6.5325	199.5325	-180.845	0	289	0	159	10	0	0	"Top"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"98"	"Vardø"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Vardø"	-75.045022502899	0	1	0	0	0	5	391	"5-391-7091"	115	0	0	0	2	0	1297014.40275069
7290	2007	NA	NA	NA	NA	NA	NA	NA	7948021.13526258	120	1	9.7125	165.965	-145.175	0	201	0	165	140	0	0	"Top"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"93"	"Nordkapp"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Nordkapp"	36.27292619591	0.0416666666666667	0.958333333333333	0	0	0	5	247	"5-247-7290"	120	0	0	0	8	0	1107014.40275069
7303	2007	NA	NA	NA	NA	NA	NA	NA	7948021.13526258	122	1	-19.8695652173913	169.565217391304	-190.809782608696	0	204	0	7	0	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-145.149417503357	0	1	0	0	0	5	186	"5-186-7303"	122	0	0	0	16	0	1172014.40275069
7315	2007	NA	NA	NA	NA	NA	NA	NA	7948021.13526258	131	1	-23.1175	171.495	-202.3025	0	225	0	29	4	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-95.129492551422	0	1	0	0	0	5	46	"5-46-7315"	131	0	0	1	25	3	1232014.40275069
7316	2007	6	8	18	19	1	60	"2007-6-8-7316"	7948021.13526258	132	1	-22.665	176.5525	-203.735	0	195	0	75	34	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-82.223859936142	0	1	0	0	0	5	46	"5-46-7316"	132	1	0.316666666666667	1	80	15	1237014.40275069
7317	2007	NA	NA	NA	NA	NA	NA	NA	7948021.13526258	133	1	-25.3777173913043	180.902173913043	-208.220108695652	0	245	0	21	9	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-204.784854924774	0	1	0	0	0	5	46	"5-46-7317"	133	0	0	1	15	2	1242014.40275069
7330	2007	NA	NA	NA	NA	NA	NA	NA	7948021.13526258	146	1	-4.65489130434783	192.04347826087	-179.970108695652	0	240	0	221	7	0	0	"Top"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"98"	"Vardø"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Vardø"	-60.662497487068	0	1	0	0	0	5	391	"5-391-7330"	146	0	0	0	2	0	1307014.40275069
7331	2007	7	22	3	3	1	102	"2007-7-22-7331"	7948021.13526258	147	1	1.65740740740741	168.659722222222	-167.328703703704	0	176	2	108	15	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"98"	"Vardø"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Vardø"	8.6467900087357	0	1	0	0	0	5	391	"5-391-7331"	147	5	0.0294117647058824	1	204	3	1312014.40275069
7518	2007	NA	NA	NA	NA	NA	NA	NA	7943021.13526258	148	1	13.2620192307692	144.256841806265	-145.272929264949	0	120	0	55	5	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"91"	"Måsøy"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Måsøy"	-13.378376817444	0.2	0.8	0	0	0	5	208	"5-208-7518"	148	0	0	0	4	0	1062014.40275069
7525	2007	NA	NA	NA	NA	NA	NA	NA	7943021.13526258	152	1	4.81	170.28	-150.1325	0	205	0	160	109	0	0	"Top"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"93"	"Nordkapp"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Nordkapp"	31.3771699868202	0	0.92	0.08	0	0	5	247	"5-247-7525"	152	0	0	0	1	0	1097014.40275069
7527	2007	NA	NA	NA	NA	NA	NA	NA	7943021.13526258	154	1	8.91	175.4775	-146.68	0	195	0	157	81	0	0	"Top"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"93"	"Nordkapp"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Nordkapp"	27.2710650042534	0	1	0	0	0	5	247	"5-247-7527"	154	0	0	0	3	0	1107014.40275069
7540	2007	NA	NA	NA	NA	NA	NA	NA	7943021.13526258	157	1	-19.2384259259259	178.016203703704	-191.034722222222	1	274	0	32	11	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-163.110492577362	0	1	0	0	0	5	186	"5-186-7540"	157	0	0	0	1	0	1172014.40275069
7548	2007	NA	NA	NA	NA	NA	NA	NA	7943021.13526258	162	1	-20.8675	149.6425	-190.1425	4	182	0	7	4	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"96"	"Tana"	"Kommuner"	"Municipality"	NA	"Deatnu"	"Finnmark"	"Tana"	-212.3876326828	0.16	0.4	0.44	0	0	5	358	"5-358-7548"	162	0	0	0	18	0	1212014.40275069
7551	2007	NA	NA	NA	NA	NA	NA	NA	7943021.13526258	165	1	-32.76	167.7225	-213.47	0	268	0	8	0	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-304.838614814758	0	0.28	0.72	0	0	5	46	"5-46-7551"	165	0	0	0	10	0	1227014.40275069
7552	2007	6	12	17	17	1	41	"2007-6-12-7552"	7943021.13526258	166	1	-26.81	177.55	-210.9	0	283	0	50	13	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"96"	"Tana"	"Kommuner"	"Municipality"	NA	"Deatnu"	"Finnmark"	"Tana"	-113.250705127716	0	1	0	0	0	5	358	"5-358-7552"	166	1	0.414634146341463	1	22	8	1232014.40275069
7553	2007	6	9	1	1	1	21	"2007-6-9-7553"	7943021.13526258	167	1	-25.3	181.73	-211.19	0	251	0	124	81	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"96"	"Tana"	"Kommuner"	"Municipality"	NA	"Deatnu"	"Finnmark"	"Tana"	-62.630449970245	0	1	0	0	0	5	358	"5-358-7553"	167	1	0.0476190476190476	1	15	3	1237014.40275069
7554	2007	NA	NA	NA	NA	NA	NA	NA	7943021.13526258	168	1	-25.7005208333333	184.903645833333	-212.763020833333	2	234	0	56	37	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"97"	"Vadsø"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Vadsø"	-140.168447370911	0	0.88	0.12	0	0	5	386	"5-386-7554"	168	0	0	0	3	0	1242014.40275069
7566	2007	NA	NA	NA	NA	NA	NA	NA	7943021.13526258	180	1	-6.0575	193.8125	-181.53	0	271	0	240	13	0	0	"Top"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"98"	"Vardø"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Vardø"	-69.244344904327	0	1	0	0	0	5	391	"5-391-7566"	180	0	0	1	5	1	1302014.40275069
